copied_path,copied_file,folder_from_path,file_key,true_folder,final_pred,stage1_pred,stage2_pred,stage1_prob_defect,correct_1or0
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Center\idx_201419__lot_lot12847__wafer_20.0.png,idx_201419__lot_lot12847__wafer_20.0.png,Center,idx_201419__lot_lot12847__wafer_20.0.png,Center,Center,Defect,Center,0.9999999,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Donut\idx_674144__lot_lot41974__wafer_24.0.png,idx_674144__lot_lot41974__wafer_24.0.png,Donut,idx_674144__lot_lot41974__wafer_24.0.png,Donut,Donut,Defect,Donut,1.0,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-loc\idx_685541__lot_lot42434__wafer_14.0.png,idx_685541__lot_lot42434__wafer_14.0.png,Edge-loc,idx_685541__lot_lot42434__wafer_14.0.png,Edge-loc,Edge-loc,Defect,Edge-loc,0.17333585,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-loc\idx_727015__lot_lot44112__wafer_8.0.png,idx_727015__lot_lot44112__wafer_8.0.png,Edge-loc,idx_727015__lot_lot44112__wafer_8.0.png,Edge-loc,Edge-loc,Defect,Edge-loc,0.77494544,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_021340__lot_lot2516__wafer_16.0.png,idx_021340__lot_lot2516__wafer_16.0.png,Edge-ring,idx_021340__lot_lot2516__wafer_16.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,0.9999999,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_141276__lot_lot9150__wafer_4.0.png,idx_141276__lot_lot9150__wafer_4.0.png,Edge-ring,idx_141276__lot_lot9150__wafer_4.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,1.0,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_225747__lot_lot14206__wafer_10.0.png,idx_225747__lot_lot14206__wafer_10.0.png,Edge-ring,idx_225747__lot_lot14206__wafer_10.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,1.0,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_294480__lot_lot18023__wafer_10.0.png,idx_294480__lot_lot18023__wafer_10.0.png,Edge-ring,idx_294480__lot_lot18023__wafer_10.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,0.9999999,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Edge-ring\idx_328673__lot_lot19814__wafer_25.0.png,idx_328673__lot_lot19814__wafer_25.0.png,Edge-ring,idx_328673__lot_lot19814__wafer_25.0.png,Edge-ring,Edge-ring,Defect,Edge-ring,1.0,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Loc\idx_643165__lot_lot40469__wafer_6.0.png,idx_643165__lot_lot40469__wafer_6.0.png,Loc,idx_643165__lot_lot40469__wafer_6.0.png,Loc,Loc,Defect,Loc,0.99668866,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Loc\idx_704711__lot_lot43213__wafer_18.0.png,idx_704711__lot_lot43213__wafer_18.0.png,Loc,idx_704711__lot_lot43213__wafer_18.0.png,Loc,Loc,Defect,Loc,0.99999595,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\Near-Full\idx_763251__lot_lot45579__wafer_25.0.png,idx_763251__lot_lot45579__wafer_25.0.png,Near-Full,idx_763251__lot_lot45579__wafer_25.0.png,Near-Full,Near-Full,Defect,Near-Full,1.0,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_001531__lot_lot62__wafer_7.0.png,idx_001531__lot_lot62__wafer_7.0.png,None,idx_001531__lot_lot62__wafer_7.0.png,None,None,None,Edge-loc,6.220169e-05,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_003748__lot_lot151__wafer_24.0.png,idx_003748__lot_lot151__wafer_24.0.png,None,idx_003748__lot_lot151__wafer_24.0.png,None,None,None,Edge-loc,0.0004542501,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_006618__lot_lot266__wafer_21.0.png,idx_006618__lot_lot266__wafer_21.0.png,None,idx_006618__lot_lot266__wafer_21.0.png,None,None,None,Loc,0.00029288404,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_245493__lot_lot15368__wafer_9.0.png,idx_245493__lot_lot15368__wafer_9.0.png,None,idx_245493__lot_lot15368__wafer_9.0.png,None,None,None,Loc,0.0012783452,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_641040__lot_lot40383__wafer_11.0.png,idx_641040__lot_lot40383__wafer_11.0.png,None,idx_641040__lot_lot40383__wafer_11.0.png,None,None,None,Edge-loc,0.002845137,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_642439__lot_lot40440__wafer_5.0.png,idx_642439__lot_lot40440__wafer_5.0.png,None,idx_642439__lot_lot40440__wafer_5.0.png,None,None,None,Scratch,0.0010179451,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_653571__lot_lot40896__wafer_23.0.png,idx_653571__lot_lot40896__wafer_23.0.png,None,idx_653571__lot_lot40896__wafer_23.0.png,None,None,None,Loc,1.9607858e-05,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_684211__lot_lot42381__wafer_8.0.png,idx_684211__lot_lot42381__wafer_8.0.png,None,idx_684211__lot_lot42381__wafer_8.0.png,None,None,None,Loc,0.015171463,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_686130__lot_lot42458__wafer_15.0.png,idx_686130__lot_lot42458__wafer_15.0.png,None,idx_686130__lot_lot42458__wafer_15.0.png,None,None,None,Loc,0.00034403158,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_687485__lot_lot42516__wafer_6.0.png,idx_687485__lot_lot42516__wafer_6.0.png,None,idx_687485__lot_lot42516__wafer_6.0.png,None,None,None,Loc,0.0003022213,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_693721__lot_lot42769__wafer_20.0.png,idx_693721__lot_lot42769__wafer_20.0.png,None,idx_693721__lot_lot42769__wafer_20.0.png,None,None,None,Loc,0.00015237335,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_702066__lot_lot43107__wafer_13.0.png,idx_702066__lot_lot43107__wafer_13.0.png,None,idx_702066__lot_lot43107__wafer_13.0.png,None,None,None,Loc,0.00056991226,1
C:\Users\user\Desktop\MIR-WM811K\MIR-WM811K\Python\dataset\sample60\None\idx_702623__lot_lot43129__wafer_21.0.png,idx_702623__lot_lot43129__wafer_21.0.png,None,idx_702623__lot_lot43129__wafer_21.0.png,None,None,None,Edge-loc,0.0013636824,1
